,Job Title,Job Type,Company Name,Posted Date,Cities,States,Stipend,Start Date,Duration,Numer of Openings,Late date to apply
66,MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY INSTITUTION,Full Time,CMMU KAJALGAON DAY NULM,15-05-2023,Chirang,Assam,Unpaid,Immediately,02 Months,2,30-11-2023
67,SOCIAL MOBILISER,Full Time,NULM,15-05-2023,Karimganj,Assam,Unpaid,Immediately,12 Weeks,2,31-07-2023
68,MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,CMMU KAJALGAON DAY NULM,15-05-2023,Chirang,Assam,Unpaid,Immediately,2 Months,2,30-11-2023
69,ENTERPRISE DEVELOPMENT OF URBAN POOR,Full Time,CMMU KAJALGAON DAY NULM,16-05-2023,Chirang,Assam,Unpaid,Immediately,2 Months,2,30-11-2023
70,MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,Bijni ULB DAY NULM,16-05-2023,Bijni,Assam,Unpaid,Immediately,2 Months,1,30-11-2023
71,FINANCIAL INCLUSION OF URBAN POOR - INDIVIDUAL AND SHG,Full Time,Bijni ULB DAY NULM,16-05-2023,Bijni,Assam,Unpaid,Immediately,2 Months,1,30-11-2023
72,"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,DAY NULM KOKRAJHAR ASSAM,16-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1,13-09-2023
73,URBAN WOMEN EMPOWERMENT,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM TINSUKIA,16-05-2023,Tinsukia,Assam,Unpaid,Immediately,8 Weeks,5,31-08-2023
74,MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY INSTITUTION AND ENTERPRISE DEVELOPMENT,Full Time,Bijni ULB DAY NULM,16-05-2023,Bijni,Assam,Unpaid,Immediately,2 Months,2,30-11-2023
75,FINANCIAL INCLUSION OF URBAN POOR - INDIVIDUAL AND SHG AND FINANCIAL MANAGAEMENT OF SHGS AND ITS FEDERATION.,Full Time,DAY NULM KOKRAJHAR ASSAM,16-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1,13-09-2023
76,SOCIAL MOBILIZER,Full Time,DAY NULM TITABAR ULB,16-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,2,15-09-2023
77,BRANDING AND MARKETING EXPERT,Full Time,CITY MISSION MANAGEMENT UNIT DAY NULM JORHAT,16-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,1,31-07-2023
78,SOCIAL MEDIA INTERN,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,1,15-06-2023
79,SOCIAL WORK INTERN,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,2,15-06-2023
80,SOCIAL MOBILIZER,Full Time,DAY NULM MARIANI,16-05-2023,Mariani,Assam,Unpaid,Immediately,2 Months,2,20-11-2023
81,SKILL AND CAPACITY DEVELOPMENT INTERNSHIP,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,3,15-06-2023
82,SOCIAL MOBILIZER,Full Time,Haflong Municipal Board,16-05-2023,Halflong,Assam,Unpaid,Immediately,2 Months,5,20-08-2023
83,URBAN WOMEN EMPOWERMENT,Full Time,City Mission Management Unit Diphu DAY NULM,16-05-2023,Karbi Anglong,Assam,Unpaid,Immediately,8 Weeks,5,31-08-2023
84,NULM INTERN,Full Time,Silpathar,16-05-2023,Dhemaji,Assam,Unpaid,Immediately,8 Weeks,5,27-06-2023
85,"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,DAY NULM GOSSAIGAON ASSAM,16-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,27-05-2023
86,INTERN FOR SELF EMPLOYMENT PROGRAM,Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,2,23-05-2023
87,E-COMMERCE PLATFORM DEVELOPER INTERN,Full Time,DAY NULM CMMU BONGAIGAON,17-05-2023,Bongaigaon,Assam,Unpaid,Immediately,8 Weeks,1,08-06-2023
88,SHG- CAPACITY BUILDING INTERN,Full Time,DAY NULM CMMU BONGAIGAON,17-05-2023,Bongaigaon,Assam,Unpaid,Immediately,8 Weeks,2,14-06-2023
89,SOCIAL MOBILIZER,Full Time,DAY NULM CMMU BONGAIGAON,17-05-2023,Bongaigaon,Assam,Unpaid,Immediately,8 Weeks,1,14-06-2023
90,"URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,DHUBRI MUNICIPAL BOARD DHUBRI ASSAM,17-05-2023,Dhubri,Assam,Unpaid,Immediately,6 Months,5,30-08-2023
91,DAY-NULM,Full Time,ASULMS NAGAON,17-05-2023,Nagaon,Assam,Unpaid,Immediately,3 Months,2,27-05-2023
92,FINANCIAL INCLUSION OF URBAN POOR - INDIVIDUAL AND SHG,Full Time,ASULMS NAGAON,17-05-2023,Nagaon,Assam,Unpaid,Immediately,3 Months,2,27-05-2023
93,SOCIAL MOBILIZER,Full Time,DAY NULm City Mission Management Unit Abhayapuri,18-05-2023,Abhayapuri,Assam,Unpaid,Immediately,8 Weeks,2,20-06-2023
94,SHG- CAPACITY BUILDING INTERN,Part Time,ASULMS NAGAON,18-05-2023,Nagaon,Assam,Unpaid,Immediately,3 Months,1,27-05-2023
95,SHG- CAPACITY BUILDING INTERN,Full Time,HOJAI MUNICIPAL BOARD (NULM),18-05-2023,Hojai,Assam,Unpaid,Immediately,3 Months,2,31-07-2023
96,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,HOJAI MUNICIPAL BOARD (NULM),18-05-2023,Hojai,Assam,Unpaid,Immediately,3 Months,1,31-07-2023
97,"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS,CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,City Project Management Unit NULM Sivasagar,18-05-2023,Sivasagar,Assam,Unpaid,Immediately,8 Weeks,2,07-08-2023
98,"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, SHELTER FOR URBAN HOMELESS",Full Time,City Project Management Unit NULM Sivasagar,18-05-2023,Sivasagar,Assam,Unpaid,Immediately,8 Weeks,1,31-07-2023
99,"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM",Full Time,City Project Management Unit NULM Sivasagar,18-05-2023,Sivasagar,Assam,Unpaid,Immediately,8 Weeks,2,07-08-2023
100,URBAN WOMEN EMPOWERMENT,Full Time,City Mission Management Unit Bokajan DAY NULM,19-05-2023,Bokajan,Assam,Unpaid,Immediately,8 Weeks,5,15-06-2023
101,"STUDY OF THE URBAN LIVELIHOOD PATTERN, SCOPE OF LIVELIHOOD & ENTREPRENEURSHIP DEVELOPMENT OF URBAN POOR OF GOALPARA TOWN",Full Time,Deendayal Antyodaya Yojna National Urban Livelihood Mission Goalpara MB Assam,19-05-2023,Goalpara,Assam,Unpaid,Immediately,1 Month,4,15-08-2024
102,"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS, ALFS, CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CMMU NULM Nazira MB,19-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,07-08-2023
103,"INTERN FOR URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,"CMMU, Guwahati Municipal Corporation ,  DAY NULM- Assam",19-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,3 Months,4,30-06-2023
104,"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CMMU Simaluguri MB,19-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,31-08-2023
105,SUPPORT TO IMPROVEMENT OF URBAN LIVELIHOODS,Full Time,NULM,19-05-2023,Cachar,Assam,Unpaid,Immediately,3 Months,15,30-11-2024
106,"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, SHELTER FOR URBAN HOMELESS",Full Time,CMMU NULM Nazira MB,19-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,18-08-2023
107,"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, SHELTER FOR URBAN HOMELESS",Full Time,CMMU Simaluguri MB,19-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,23-06-2023
108,"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM",Full Time,CMMU NULM Nazira MB,19-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,31-07-2023
109,"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS,CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,NULM,19-05-2023,Karimganj,Assam,Unpaid,Immediately,3 Months,1,31-07-2023
110,ULB INTERSHIP,Full Time,ASULMS DAY NULM SONAI MUNICIPAL BOARD,19-05-2023,Cachar,Assam,Unpaid,Immediately,3 Months,5,15-06-2023
111,ULB INTERSHIP,Full Time,ASSAM STATE URBAN LIVELIHOOD MISSION SOCIETY  DAY NULM,19-05-2023,Cachar,Assam,Unpaid,Immediately,3 Months,5,16-06-2023
112,"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, SHELTER FOR URBAN HOMELESS",Full Time,NULM,19-05-2023,Karimganj,Assam,Unpaid,Immediately,3 Months,1,31-07-2023
113,MASS COMMUNICATIONS & SOCIAL MEDIA AND ONBOARDING OF SHG PRODUCT THROUGH ECOMMERCE,Full Time,NULM,19-05-2023,Karimganj,Assam,Unpaid,Immediately,3 Months,1,31-07-2023
114,"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS,CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CMMU NULM SONARI MB,20-05-2023,Charaideo,Assam,Unpaid,Immediately,3 Months,2,23-06-2023
115,"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM",Full Time,CMMU Simaluguri MB,20-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,23-06-2023
116,SOCIAL MEDIA EXPERT,Full Time,City Mission Management Unit NULM Hailakandi,20-05-2023,Hailakandi,Assam,Unpaid,Immediately,6 Months,2,31-07-2023
117,COMMUNITY RESOURCE PERSON,Full Time,City Mission Management Unit NULM Hailakandi,20-05-2023,Hailakandi,Assam,Unpaid,Immediately,3 Months,3,31-08-2023
118,"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS,CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CMMU NULM DEMOW MB,22-05-2023,Sibsagar,Assam,Unpaid,Immediately,3 Months,2,24-06-2023
119,"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, MASS COMMUNICATION AND SOCIAL MEDIA,",Full Time,CMMU NULM DEMOW MB,22-05-2023,Sibsagar,Assam,Unpaid,Immediately,3 Months,1,24-06-2023
120,NULM INTERN,Full Time,Nalbari Municipal Board,22-05-2023,Nalbari,Assam,Unpaid,Immediately,12 Weeks,5,31-05-2023
121,INTERN FOR LIVELIHOOD AND SOCIAL ENTREPRENEURSHIP,Full Time,Mangaldai Municipal Board,22-05-2023,Mangaldoi,Assam,Unpaid,Immediately,2 Months,2,07-06-2024
122,INTERN FOR COMMUNICATION AND PUBLIC RELATION,Full Time,Mangaldai Municipal Board,22-05-2023,Mangaldoi,Assam,Unpaid,Immediately,6 MONTHS,1,04-10-2024
123,SOCIAL MOBILIZER,Full Time,Umrongso Municipal Board,22-05-2023,Dima Hasao,Assam,Unpaid,Immediately,2 Months,2,22-06-2023
124,SOCIAL MOBILIZER,Full Time,MAHUR MUNICIPAL BOARD,23-05-2023,Dima Hasao,Assam,Unpaid,Immediately,2 Months,2,23-06-2023
125,INTERN FOR SWACH BHARAT MISSION 2.0,Full Time,Mangaldai Municipal Board,23-05-2023,Mangaldoi,Assam,Unpaid,Immediately,2 Months,2,24-05-2024
126,INTERN FOR SOCIAL MOBILIZER,Full Time,Mangaldai Municipal Board,23-05-2023,Mangaldoi,Assam,Unpaid,Immediately,3 Months,1,15-08-2023
127,"MOBILIZATION OF URBAN POOR AND BUILDING COMMUNITY ORGANIZATION VIZ SHGS,ALFS,CLFS, URBAN LIVELIHOODS, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,MORAN MUNICIPAL BOARD,23-05-2023,Charaideo,Assam,Unpaid,Immediately,3 Months,1,23-06-2023
128,"SELF-EMPLOYMENT PROGRAMME VIZ. INDIVIDUAL AND SHG BANK LINKAGE, SHELTER FOR URBAN HOMELESS",Full Time,MORAN MUNICIPAL BOARD,23-05-2023,Charaideo,Assam,Unpaid,Immediately,3 Months,1,23-06-2023
129,"MASS COMMUNICATION AND SOCIAL MEDIA, ON-BOARDING OF SHGS PRODUCT THROUGH E-COMMERCE PLATFORM",Full Time,MORAN MUNICIPAL BOARD,23-05-2023,Charaideo,Assam,Unpaid,Immediately,3 Months,1,23-06-2023
130,DATA ENTRY OPERATOR,Full Time,TMC TNARASIPURA,24-05-2023,T. Narsipur,Karnataka,5000 /month,Immediately,6 Months,1,07-06-2023
131,SOCIAL MOBILIZER,Full Time,Maibang Municipal Board,24-05-2023,Maibong,Assam,Unpaid,Immediately,2 Months,2,24-06-2023
132,CHILD DEVELOPMENT,Virtual Internship,NAGAR PARISHAD CHITRAKOOT,26-05-2023,Satna,Madhya Pradesh,1500 /month,Immediately,2 Months,1,26-05-2023
133,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,DAY NULM GOSSAIGAON ASSAM,29-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,15-06-2023
134,SELF EMPLOYMENT PROGRAMME (INDIVIDUAL AND SHG BANK LINKAGE),Full Time,DAY NULM KOKRAJHAR ASSAM,29-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1,13-09-2023
135,CITY LIVELIHOOD CENTRE OF DAY-NULM AND DESIGNING VENDING ZONE,Full Time,DAY NULM KOKRAJHAR ASSAM,29-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,13-09-2023
